DATE	TIME	VOLUME	OPEN	CLOSE	MIN	MAX
10/13/2006	11:00:01	2854	119.38	119.32	119.28	119.46
10/13/2006	12:00:01	5837	119.34	119.61	119.23	119.68
10/13/2006	13:00:01	4273	119.61	119.65	119.51	119.71
10/13/2006	14:00:01	5370	119.63	119.85	119.62	119.88
10/13/2006	15:00:01	3778	119.84	119.8	119.75	119.89
10/13/2006	16:00:01	2882	119.78	119.75	119.66	119.83
10/13/2006	17:00:01	2659	119.77	119.64	119.58	119.78
10/13/2006	18:00:01	2268	119.64	119.63	119.57	119.7
10/13/2006	19:00:01	1638	119.61	119.66	119.58	119.72
10/13/2006	20:00:01	1019	119.66	119.6	119.57	119.69
10/13/2006	21:00:01	441	119.63	119.59	119.46	119.66
10/13/2006	22:00:01	0	119.59	119.59	119.59	119.59
10/13/2006	23:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	00:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	01:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	02:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	03:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	04:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	05:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	06:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	07:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	08:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	09:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	10:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	11:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	12:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	13:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	14:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	15:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	16:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	17:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	18:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	19:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	20:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	21:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	22:00:01	0	119.59	119.59	119.59	119.59
10/14/2006	23:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	00:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	01:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	02:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	03:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	04:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	05:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	06:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	07:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	08:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	09:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	10:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	11:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	12:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	13:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	14:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	15:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	16:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	17:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	18:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	19:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	20:00:01	0	119.59	119.59	119.59	119.59
10/15/2006	21:00:01	1020	119.64	119.68	119.61	119.7
10/15/2006	22:00:01	1051	119.68	119.73	119.65	119.77
10/15/2006	23:00:01	1407	119.75	119.74	119.68	119.78
10/16/2006	00:00:01	2687	119.77	119.7	119.65	119.78
10/16/2006	01:00:01	2333	119.7	119.71	119.66	119.78
10/16/2006	02:00:01	2282	119.7	119.73	119.68	119.81
10/16/2006	03:00:01	1862	119.73	119.7	119.64	119.77
10/16/2006	04:00:01	2365	119.69	119.64	119.6	119.73
10/16/2006	05:00:01	2604	119.66	119.59	119.54	119.67
10/16/2006	06:00:01	3287	119.59	119.54	119.52	119.72
10/16/2006	07:00:01	5758	119.53	119.35	119.22	119.58
10/16/2006	08:00:01	4123	119.35	119.34	119.16	119.39
10/16/2006	09:00:01	3178	119.33	119.35	119.19	119.37
10/16/2006	10:00:01	3567	119.35	119.25	119.13	119.43
10/16/2006	11:00:01	3537	119.25	119.25	119.19	119.4
10/16/2006	12:00:01	5013	119.24	119.06	118.97	119.32
10/16/2006	13:00:01	4364	119.05	119.07	118.93	119.14
10/16/2006	14:00:01	4242	119.08	119.2	119.02	119.28
10/16/2006	15:00:01	2936	119.22	119.25	119.17	119.35
10/16/2006	16:00:01	3093	119.25	119.11	119.04	119.3
10/16/2006	17:00:01	2880	119.1	119.03	119	119.19
10/16/2006	18:00:01	2542	119.04	119.1	118.97	119.13
10/16/2006	19:00:01	2116	119.12	119.11	119.06	119.18
10/16/2006	20:00:01	2069	119.11	119.03	118.99	119.15
10/16/2006	21:00:01	1902	119.03	119.01	118.97	119.09
10/16/2006	22:00:01	2194	119.01	118.96	118.93	119.09
10/16/2006	23:00:01	2692	118.97	119.08	118.9	119.1
10/17/2006	00:00:01	4193	119.08	118.95	118.89	119.14
10/17/2006	01:00:01	3053	118.96	119.07	118.9	119.13
10/17/2006	02:00:01	2172	119.07	119	118.98	119.1
10/17/2006	03:00:01	2462	119	119.02	118.96	119.07
10/17/2006	04:00:01	2455	119.01	119.08	118.99	119.1
10/17/2006	05:00:01	2683	119.09	118.98	118.9	119.09
10/17/2006	06:00:01	4995	118.98	119.04	118.85	119.14
10/17/2006	07:00:01	4587	119.04	118.87	118.82	119.11
10/17/2006	08:00:01	5493	118.88	118.73	118.66	118.99
10/17/2006	09:00:01	4909	118.74	118.61	118.55	118.78
10/17/2006	10:00:01	3455	118.63	118.69	118.56	118.74
10/17/2006	11:00:01	3090	118.69	118.65	118.6	118.75
10/17/2006	12:00:01	5056	118.65	118.7	118.59	118.8
10/17/2006	13:00:01	5324	118.72	118.62	118.53	118.87
10/17/2006	14:00:01	4498	118.63	118.69	118.53	118.8
10/17/2006	15:00:01	3942	118.68	118.64	118.51	118.72
10/17/2006	16:00:01	3428	118.62	118.74	118.56	118.77
10/17/2006	17:00:01	3642	118.73	118.85	118.71	118.9
10/17/2006	18:00:01	3010	118.84	118.94	118.83	119.02
10/17/2006	19:00:01	2727	118.94	118.82	118.8	118.94
10/17/2006	20:00:01	2640	118.82	118.74	118.69	118.93
10/17/2006	21:00:01	4413	118.74	118.47	118.43	118.77
10/17/2006	22:00:01	4066	118.48	118.61	118.35	118.64
10/17/2006	23:00:01	3018	118.61	118.67	118.54	118.7
10/18/2006	00:00:01	3595	118.67	118.66	118.6	118.77
10/18/2006	01:00:01	3056	118.66	118.67	118.63	118.74
10/18/2006	02:00:01	2296	118.68	118.57	118.52	118.71
10/18/2006	03:00:01	2320	118.57	118.56	118.51	118.63
10/18/2006	04:00:01	2315	118.59	118.58	118.51	118.61
10/18/2006	05:00:01	2811	118.58	118.49	118.45	118.62
10/18/2006	06:00:01	5336	118.51	118.42	118.3	118.56
10/18/2006	07:00:01	4630	118.42	118.54	118.32	118.58
10/18/2006	08:00:01	4623	118.54	118.66	118.48	118.7
10/18/2006	09:00:01	3941	118.68	118.69	118.59	118.78
10/18/2006	10:00:01	3234	118.7	118.77	118.58	118.77
10/18/2006	11:00:01	3985	118.76	118.62	118.52	118.8
10/18/2006	12:00:01	6271	118.61	118.98	118.55	119.1
10/18/2006	13:00:01	5584	118.97	119.04	118.89	119.17
10/18/2006	14:00:01	3985	119.04	119.05	118.96	119.19
10/18/2006	15:00:01	2923	119.05	119.05	118.97	119.14
10/18/2006	16:00:01	3093	119.05	118.97	118.9	119.11
10/18/2006	17:00:01	2636	118.97	119.03	118.88	119.08
10/18/2006	18:00:01	2408	119.03	118.9	118.86	119.05
10/18/2006	19:00:01	1077	118.9	118.93	118.84	118.97
10/18/2006	20:00:01	614	118.93	118.92	118.9	118.97
10/18/2006	21:00:01	532	118.92	118.91	118.85	118.93
10/18/2006	22:00:01	568	118.91	118.96	118.85	118.99
10/18/2006	23:00:01	724	118.96	118.92	118.89	119.03
10/19/2006	00:00:01	633	118.92	118.92	118.85	118.95
10/19/2006	01:00:01	663	118.92	118.86	118.82	118.94
10/19/2006	02:00:01	469	118.87	118.86	118.82	118.9
10/19/2006	03:00:01	511	118.86	118.86	118.84	118.94
10/19/2006	04:00:01	474	118.86	118.88	118.82	118.92
10/19/2006	05:00:01	597	118.88	118.86	118.82	118.91
10/19/2006	06:00:01	764	118.85	118.83	118.74	118.88
10/19/2006	07:00:01	1342	118.83	118.45	118.43	118.85
10/19/2006	08:00:01	4725	118.47	118.65	118.44	118.85
10/19/2006	09:00:01	3864	118.65	118.61	118.47	118.69
10/19/2006	10:00:01	3513	118.6	118.66	118.54	118.7
10/19/2006	11:00:01	3408	118.68	118.65	118.56	118.71
10/19/2006	12:00:01	3904	118.65	118.63	118.56	118.75
10/19/2006	13:00:01	5613	118.66	118.39	118.17	118.71
10/19/2006	14:00:01	5791	118.39	118.31	118.16	118.44
10/19/2006	15:00:01	4199	118.32	118.35	118.25	118.41
10/19/2006	16:00:01	4592	118.35	118.22	118.14	118.41
10/19/2006	17:00:01	4201	118.22	118.12	118.03	118.3
10/19/2006	18:00:01	3513	118.13	118.14	118	118.17
10/19/2006	19:00:01	2127	118.14	118.14	118.09	118.18
10/19/2006	20:00:01	2210	118.14	118.13	118.07	118.21
10/19/2006	21:00:01	1873	118.13	118.22	118.09	118.29
10/19/2006	22:00:01	1997	118.22	118.28	118.18	118.36
10/19/2006	23:00:01	2689	118.28	118.32	118.21	118.39
10/20/2006	00:00:01	3359	118.32	118.36	118.26	118.42
10/20/2006	01:00:01	3236	118.39	118.38	118.22	118.4
10/20/2006	02:00:01	1833	118.38	118.31	118.26	118.39
10/20/2006	03:00:01	2073	118.31	118.3	118.25	118.36
10/20/2006	04:00:01	2562	118.31	118.29	118.22	118.35
10/20/2006	05:00:01	2557	118.29	118.32	118.23	118.37
10/20/2006	06:00:01	3950	118.31	118.32	118.23	118.37
10/20/2006	07:00:01	3632	118.33	118.3	118.24	118.4
10/20/2006	08:00:01	3607	118.32	118.2	118.12	118.4
10/20/2006	09:00:01	3961	118.2	118.36	118.1	118.38
10/20/2006	10:00:01	3918	118.34	118.3	118.17	118.38
10/20/2006	11:00:01	3499	118.27	118.32	118.16	118.36
10/20/2006	12:00:01	3497	118.34	118.28	118.22	118.39
10/20/2006	13:00:01	3698	118.29	118.36	118.16	118.42
10/20/2006	14:00:01	4598	118.36	118.76	118.33	118.79
10/20/2006	15:00:01	3760	118.75	118.71	118.62	118.78
10/20/2006	16:00:01	2949	118.71	118.65	118.55	118.74
10/20/2006	17:00:01	2294	118.66	118.71	118.61	118.73
10/20/2006	18:00:01	2493	118.71	118.61	118.59	118.8
10/20/2006	19:00:01	1500	118.63	118.67	118.59	118.71
10/20/2006	20:00:01	1122	118.68	118.73	118.6	118.74
10/20/2006	21:00:01	785	118.72	118.73	118.6	118.84
10/20/2006	22:00:01	0	118.73	118.73	118.73	118.73
10/20/2006	23:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	00:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	01:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	02:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	03:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	04:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	05:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	06:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	07:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	08:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	09:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	10:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	11:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	12:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	13:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	14:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	15:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	16:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	17:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	18:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	19:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	20:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	21:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	22:00:01	0	118.73	118.73	118.73	118.73
10/21/2006	23:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	00:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	01:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	02:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	03:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	04:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	05:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	06:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	07:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	08:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	09:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	10:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	11:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	12:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	13:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	14:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	15:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	16:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	17:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	18:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	19:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	20:00:01	0	118.73	118.73	118.73	118.73
10/22/2006	21:00:01	872	118.73	118.71	118.69	118.78
10/22/2006	22:00:01	1270	118.71	118.62	118.59	118.74
10/22/2006	23:00:01	2110	118.62	118.6	118.53	118.66
10/23/2006	00:00:01	2390	118.59	118.65	118.54	118.68
10/23/2006	01:00:01	3412	118.66	118.76	118.62	118.8
10/23/2006	02:00:01	3029	118.76	118.79	118.68	118.87
10/23/2006	03:00:01	2921	118.79	118.72	118.67	118.84
10/23/2006	04:00:01	2006	118.72	118.74	118.68	118.78
10/23/2006	05:00:01	3042	118.74	118.79	118.69	118.86
10/23/2006	06:00:01	4291	118.79	118.84	118.75	118.9
10/23/2006	07:00:01	3500	118.85	118.93	118.78	118.95
10/23/2006	08:00:01	4026	118.94	119.05	118.88	119.09
