DATE	TIME	VOLUME	OPEN	CLOSE	LOW	HIGH
04/08/2008	21:00:01	1825	9.3667	9.3654	9.3568	9.3738
04/08/2008	22:00:01	2754	9.3649	9.3678	9.3591	9.3722
04/08/2008	23:00:01	2469	9.3646	9.3665	9.3616	9.3731
04/09/2008	00:00:01	3544	9.3662	9.3648	9.358	9.3762
04/09/2008	01:00:01	2427	9.3673	9.366	9.3616	9.3696
04/09/2008	02:00:01	2568	9.3666	9.3654	9.3627	9.368
04/09/2008	03:00:01	2448	9.3663	9.3658	9.3608	9.3687
04/09/2008	04:00:01	2577	9.3632	9.3644	9.3581	9.373
04/09/2008	05:00:01	2463	9.3678	9.3682	9.3593	9.3737
04/09/2008	06:00:01	6337	9.3676	9.3613	9.3566	9.3773
04/09/2008	07:00:01	6564	9.3614	9.3628	9.3493	9.3652
04/09/2008	08:00:01	7096	9.3615	9.36	9.3534	9.3694
04/09/2008	09:00:01	5424	9.3625	9.358	9.3514	9.3654
04/09/2008	10:00:01	5277	9.3591	9.3644	9.3529	9.3669
04/09/2008	11:00:01	6248	9.3634	9.3621	9.3523	9.3686
04/09/2008	12:00:01	6962	9.3623	9.374	9.3548	9.3761
04/09/2008	13:00:01	6448	9.3723	9.3746	9.3635	9.3818
04/09/2008	14:00:01	6163	9.3747	9.3826	9.3626	9.3836
04/09/2008	15:00:01	6229	9.381	9.379	9.3714	9.3914
04/09/2008	16:00:01	5681	9.3815	9.3748	9.3684	9.3841
04/09/2008	17:00:01	4632	9.3725	9.376	9.3658	9.3797
04/09/2008	18:00:01	3322	9.3759	9.3749	9.3684	9.3814
04/09/2008	19:00:01	2845	9.378	9.3779	9.3697	9.3841
04/09/2008	20:00:01	2376	9.3804	9.386	9.3707	9.3886
04/09/2008	21:00:01	1820	9.3874	9.385	9.3744	9.389
04/09/2008	22:00:01	1980	9.3864	9.3815	9.3729	9.3872
04/09/2008	23:00:01	1965	9.3834	9.3786	9.3728	9.385
04/10/2008	00:00:01	3862	9.3773	9.3829	9.3738	9.3898
04/10/2008	01:00:01	3380	9.3841	9.3833	9.3769	9.3888
04/10/2008	02:00:01	2529	9.3832	9.3818	9.375	9.3866
04/10/2008	03:00:01	2311	9.3801	9.3842	9.3769	9.386
04/10/2008	04:00:01	2969	9.3811	9.3871	9.3698	9.3902
04/10/2008	05:00:01	3674	9.3866	9.3896	9.378	9.3937
04/10/2008	06:00:01	6591	9.391	9.3894	9.3775	9.3929
04/10/2008	07:00:01	6869	9.3888	9.3943	9.3789	9.4005
04/10/2008	08:00:01	7968	9.3934	9.3893	9.3852	9.3985
04/10/2008	09:00:01	8753	9.3901	9.3899	9.3793	9.3956
04/10/2008	10:00:01	5485	9.3889	9.398	9.3815	9.4022
04/10/2008	11:00:01	7370	9.3991	9.385	9.3819	9.4019
04/10/2008	12:00:01	8512	9.3875	9.3762	9.3698	9.3939
04/10/2008	13:00:01	7011	9.3767	9.3856	9.3708	9.3878
04/10/2008	14:00:01	5377	9.3857	9.389	9.3773	9.3949
04/10/2008	15:00:01	6596	9.389	9.3865	9.3803	9.3959
04/10/2008	16:00:01	5365	9.3866	9.3912	9.3806	9.3953
04/10/2008	17:00:01	3792	9.3921	9.3899	9.3814	9.3952
04/10/2008	18:00:01	4331	9.387	9.3923	9.3825	9.3981
04/10/2008	19:00:01	2925	9.3937	9.3885	9.3823	9.3964
04/10/2008	20:00:01	2497	9.3915	9.3861	9.3823	9.3958
04/10/2008	21:00:01	1893	9.3902	9.3891	9.3778	9.3941
04/10/2008	22:00:01	1829	9.3904	9.3868	9.3799	9.394
04/10/2008	23:00:01	2615	9.3869	9.3845	9.3798	9.3905
04/11/2008	00:00:01	2764	9.385	9.3842	9.3817	9.3921
04/11/2008	01:00:01	2431	9.3777	9.379	9.373	9.3913
04/11/2008	02:00:01	2644	9.3795	9.379	9.3763	9.3909
04/11/2008	03:00:01	2048	9.3805	9.3805	9.3765	9.3955
04/11/2008	04:00:01	2457	9.3806	9.3743	9.3699	9.3948
04/11/2008	05:00:01	4213	9.3775	9.3775	9.3687	9.3844
04/11/2008	06:00:01	7847	9.3756	9.3765	9.3676	9.3898
04/11/2008	07:00:01	8689	9.3745	9.3845	9.3661	9.3888
04/11/2008	08:00:01	6006	9.3875	9.3888	9.3755	9.3944
04/11/2008	09:00:01	5642	9.389	9.394	9.3826	9.3957
04/11/2008	10:00:01	7341	9.3913	9.398	9.3831	9.4042
04/11/2008	11:00:01	7733	9.3948	9.4001	9.3907	9.4076
04/11/2008	12:00:01	7758	9.4004	9.4141	9.3957	9.4195
04/11/2008	13:00:01	5619	9.4159	9.4085	9.4037	9.419
04/11/2008	14:00:01	5029	9.4085	9.4119	9.4045	9.4176
04/11/2008	15:00:01	6109	9.4108	9.4166	9.4065	9.4201
04/11/2008	16:00:01	4252	9.417	9.4214	9.4079	9.4232
04/11/2008	17:00:01	3657	9.4199	9.4175	9.4069	9.4218
04/11/2008	18:00:01	3678	9.4182	9.4208	9.4076	9.4242
04/11/2008	19:00:01	3173	9.4176	9.4222	9.4089	9.4258
04/11/2008	20:00:01	2795	9.4213	9.4119	9.4115	9.4282
04/11/2008	21:00:01	899	9.4151	9.4248	9.415	9.4257
04/13/2008	21:00:01	1833	9.4216	9.4183	9.4087	9.4249
04/13/2008	22:00:01	2679	9.4201	9.417	9.4068	9.4265
04/13/2008	23:00:01	2576	9.4169	9.4133	9.4059	9.4232
04/14/2008	00:00:01	3822	9.4128	9.4099	9.4069	9.4149
04/14/2008	01:00:01	3278	9.4111	9.41	9.4089	9.4148
04/14/2008	02:00:01	3010	9.4128	9.4134	9.4099	9.4149
04/14/2008	03:00:01	2299	9.4133	9.4109	9.4078	9.4151
04/14/2008	04:00:01	3472	9.4125	9.4121	9.4027	9.4157
04/14/2008	05:00:01	3651	9.4089	9.4147	9.4033	9.4181
04/14/2008	06:00:01	8105	9.4136	9.4103	9.4062	9.423
04/14/2008	07:00:01	9100	9.4105	9.4066	9.3789	9.4161
04/14/2008	08:00:01	7644	9.4065	9.4026	9.3943	9.4106
04/14/2008	09:00:01	6492	9.4044	9.3941	9.386	9.4048
04/14/2008	10:00:01	8330	9.394	9.4032	9.3837	9.4051
04/14/2008	11:00:01	7372	9.4033	9.3952	9.3896	9.4056
04/14/2008	12:00:01	9227	9.3975	9.4	9.3855	9.4093
04/14/2008	13:00:01	8139	9.3997	9.3999	9.3897	9.4061
04/14/2008	14:00:01	8243	9.4008	9.4126	9.395	9.4166
04/14/2008	15:00:01	7325	9.4119	9.4028	9.3944	9.4163
04/14/2008	16:00:01	5865	9.4029	9.4056	9.3925	9.4104
04/14/2008	17:00:01	3637	9.4074	9.4025	9.3943	9.4111
04/14/2008	18:00:01	3728	9.4038	9.404	9.3935	9.4073
04/14/2008	19:00:01	3245	9.4052	9.3958	9.3914	9.4067
04/14/2008	20:00:01	3005	9.3962	9.398	9.3863	9.4001
04/14/2008	21:00:01	2546	9.3984	9.399	9.391	9.4031
04/14/2008	22:00:01	1954	9.3997	9.399	9.3873	9.4008
04/14/2008	23:00:01	2771	9.3985	9.3952	9.393	9.3999
04/15/2008	00:00:01	2986	9.3955	9.3984	9.393	9.3997
04/15/2008	01:00:01	2656	9.3984	9.3968	9.3938	9.4002
04/15/2008	02:00:01	2503	9.3987	9.396	9.3939	9.4001
04/15/2008	03:00:01	2246	9.3992	9.4002	9.3929	9.4012
04/15/2008	04:00:01	2326	9.397	9.395	9.3908	9.4049
04/15/2008	05:00:01	3663	9.3982	9.3995	9.3929	9.4071
04/15/2008	06:00:01	6793	9.4024	9.3995	9.392	9.4086
04/15/2008	07:00:01	8577	9.3998	9.408	9.3983	9.417
04/15/2008	08:00:01	8233	9.4078	9.4151	9.4021	9.4194
04/15/2008	09:00:01	9273	9.4157	9.4096	9.4008	9.4206
04/15/2008	10:00:01	5546	9.4083	9.4077	9.3962	9.4121
04/15/2008	11:00:01	5387	9.4062	9.414	9.4007	9.418
04/15/2008	12:00:01	9069	9.4131	9.4113	9.4079	9.4201
04/15/2008	13:00:01	8093	9.41	9.4114	9.405	9.4205
04/15/2008	14:00:01	6180	9.4087	9.403	9.3984	9.4134
04/15/2008	15:00:01	5592	9.4035	9.4065	9.4008	9.4131
04/15/2008	16:00:01	3915	9.4051	9.4054	9.3994	9.4109
04/15/2008	17:00:01	5121	9.4061	9.4073	9.3972	9.4124
04/15/2008	18:00:01	3846	9.409	9.3998	9.3936	9.4106
04/15/2008	19:00:01	3548	9.4012	9.398	9.3914	9.4075
04/15/2008	20:00:01	3459	9.3958	9.3986	9.3891	9.4035
04/15/2008	21:00:01	2108	9.3984	9.3956	9.3878	9.4074
04/15/2008	22:00:01	3637	9.3972	9.3804	9.378	9.4038
04/15/2008	23:00:01	2899	9.3799	9.3796	9.3711	9.389
04/16/2008	00:00:01	3048	9.3799	9.3821	9.3762	9.3912
04/16/2008	01:00:01	3103	9.3811	9.3857	9.3772	9.3924
04/16/2008	02:00:01	2557	9.385	9.3869	9.3809	9.392
04/16/2008	03:00:01	2592	9.3859	9.3894	9.3806	9.3933
04/16/2008	04:00:01	2584	9.392	9.386	9.3748	9.3972
04/16/2008	05:00:01	3769	9.3879	9.3819	9.375	9.3965
04/16/2008	06:00:01	7302	9.3809	9.3878	9.3788	9.3938
04/16/2008	07:00:01	7550	9.3872	9.3899	9.3824	9.4008
04/16/2008	08:00:01	6427	9.3891	9.3928	9.384	9.3983
04/16/2008	09:00:01	11242	9.3928	9.3986	9.3835	9.4037
04/16/2008	10:00:01	7491	9.4008	9.3949	9.3872	9.4035
04/16/2008	11:00:01	7244	9.3976	9.397	9.3846	9.4027
04/16/2008	12:00:01	8659	9.3894	9.4029	9.3882	9.4065
04/16/2008	13:00:01	7153	9.4028	9.395	9.3869	9.4053
04/16/2008	14:00:01	6994	9.3946	9.3877	9.3856	9.4039
04/16/2008	15:00:01	8780	9.3845	9.3897	9.382	9.3987
04/16/2008	16:00:01	5820	9.3891	9.3933	9.3838	9.401
04/16/2008	17:00:01	3917	9.3928	9.3811	9.3761	9.3963
04/16/2008	18:00:01	4869	9.3825	9.3932	9.3776	9.3993
04/16/2008	19:00:01	3416	9.3917	9.394	9.3869	9.4055
04/16/2008	20:00:01	3487	9.3908	9.387	9.3809	9.3974
04/16/2008	21:00:01	2153	9.3878	9.385	9.3778	9.3927
04/16/2008	22:00:01	2584	9.3838	9.3844	9.375	9.3883
04/16/2008	23:00:01	2871	9.3839	9.388	9.3798	9.3885
04/17/2008	00:00:01	4414	9.3871	9.3864	9.3761	9.3907
04/17/2008	01:00:01	3399	9.3878	9.3858	9.3799	9.3893
04/17/2008	02:00:01	1931	9.3859	9.3849	9.3814	9.3875
04/17/2008	03:00:01	2696	9.3864	9.385	9.3809	9.3893
04/17/2008	04:00:01	3478	9.3862	9.3843	9.3743	9.3887
04/17/2008	05:00:01	4250	9.3843	9.3817	9.3744	9.3926
04/17/2008	06:00:01	7093	9.3815	9.3853	9.3736	9.3887
04/17/2008	07:00:01	7385	9.3855	9.384	9.3746	9.3914
04/17/2008	08:00:01	7392	9.3864	9.395	9.3807	9.4025
04/17/2008	09:00:01	7652	9.3963	9.3996	9.3876	9.4081
04/17/2008	10:00:01	8455	9.3984	9.4016	9.3915	9.4046
04/17/2008	11:00:01	9289	9.4041	9.3831	9.3721	9.4046
04/17/2008	12:00:01	10449	9.3825	9.3898	9.3759	9.3945
04/17/2008	13:00:01	6390	9.3899	9.3927	9.383	9.4025
04/17/2008	14:00:01	6997	9.3929	9.4084	9.3899	9.4116
04/17/2008	15:00:01	6402	9.41	9.4083	9.3959	9.4134
04/17/2008	16:00:01	4191	9.4045	9.4141	9.3999	9.4147
04/17/2008	17:00:01	4236	9.4109	9.414	9.4054	9.4175
04/17/2008	18:00:01	4179	9.4146	9.4155	9.4077	9.4207
04/17/2008	19:00:01	2905	9.4155	9.4148	9.4102	9.4191
04/17/2008	20:00:01	3517	9.4152	9.4186	9.4096	9.426
04/17/2008	21:00:01	2698	9.4185	9.4199	9.4038	9.4234
04/17/2008	22:00:01	1761	9.4167	9.4181	9.4087	9.422
04/17/2008	23:00:01	2405	9.4204	9.4191	9.4118	9.4237
04/18/2008	00:00:01	3236	9.4202	9.418	9.4149	9.4235
04/18/2008	01:00:01	2738	9.4185	9.4164	9.4099	9.4196
04/18/2008	02:00:01	2528	9.4155	9.4197	9.4119	9.4272
04/18/2008	03:00:01	2230	9.4204	9.4175	9.4118	9.4213
04/18/2008	04:00:01	2193	9.4166	9.4199	9.4081	9.4225
04/18/2008	05:00:01	3012	9.419	9.4092	9.3998	9.4231
04/18/2008	06:00:01	6099	9.4093	9.4159	9.4051	9.4252
04/18/2008	07:00:01	6278	9.4153	9.4158	9.4065	9.4217
04/18/2008	08:00:01	6519	9.4145	9.4174	9.4033	9.4198
04/18/2008	09:00:01	8221	9.4137	9.4149	9.3999	9.421
04/18/2008	10:00:01	9240	9.4113	9.3917	9.3848	9.4183
04/18/2008	11:00:01	8656	9.389	9.3889	9.3836	9.3981
04/18/2008	12:00:01	10956	9.3889	9.3875	9.383	9.3983
04/18/2008	13:00:01	7008	9.3886	9.4018	9.3847	9.4084
04/18/2008	14:00:01	6444	9.3992	9.4114	9.3928	9.4175
04/18/2008	15:00:01	6531	9.4114	9.4012	9.392	9.4133
04/18/2008	16:00:01	4698	9.4028	9.4046	9.3953	9.4102
04/18/2008	17:00:01	4163	9.4056	9.4079	9.3951	9.4099
04/18/2008	18:00:01	4802	9.4071	9.4074	9.3994	9.4133
04/18/2008	19:00:01	2941	9.4066	9.4088	9.3937	9.4122
04/18/2008	20:00:01	2169	9.4089	9.4063	9.3997	9.4142
04/18/2008	21:00:01	919	9.408	9.4087	9.4064	9.4125
04/20/2008	21:00:01	1281	9.4055	9.3988	9.3948	9.4091
04/20/2008	22:00:01	2075	9.402	9.3991	9.3917	9.405
04/20/2008	23:00:01	2524	9.3997	9.3954	9.3919	9.4037
04/21/2008	00:00:01	3703	9.3964	9.4005	9.3929	9.4127
04/21/2008	01:00:01	3118	9.4015	9.4073	9.3939	9.4122
04/21/2008	02:00:01	2566	9.4071	9.4065	9.399	9.4109
04/21/2008	03:00:01	2478	9.4058	9.4047	9.4012	9.4091
04/21/2008	04:00:01	3167	9.4027	9.3997	9.3897	9.4098
04/21/2008	05:00:01	3230	9.3997	9.4015	9.3921	9.408
04/21/2008	06:00:01	6445	9.4018	9.4045	9.3928	9.4096
04/21/2008	07:00:01	7687	9.4049	9.4075	9.4001	9.4183
04/21/2008	08:00:01	7942	9.407	9.3973	9.3926	9.4111
04/21/2008	09:00:01	6521	9.3973	9.3904	9.3838	9.4031
04/21/2008	10:00:01	5941	9.3909	9.387	9.3799	9.3928
04/21/2008	11:00:01	7530	9.3853	9.3793	9.3709	9.3886
04/21/2008	12:00:01	7642	9.3804	9.3802	9.3672	9.3874
04/21/2008	13:00:01	6638	9.3816	9.3776	9.3688	9.3837
04/21/2008	14:00:01	6757	9.3767	9.3659	9.3605	9.379
04/21/2008	15:00:01	6593	9.3646	9.3655	9.3569	9.3722
04/21/2008	16:00:01	4566	9.3658	9.3669	9.3575	9.3758
04/21/2008	17:00:01	3580	9.367	9.368	9.3543	9.3718
04/21/2008	18:00:01	3134	9.3698	9.3699	9.3597	9.3731
04/21/2008	19:00:01	2842	9.3707	9.3752	9.3649	9.3783
04/21/2008	20:00:01	2438	9.3763	9.373	9.3638	9.3775
04/21/2008	21:00:01	1687	9.3744	9.3704	9.3568	9.3745
04/21/2008	22:00:01	1764	9.3716	9.3688	9.3586	9.3735
04/21/2008	23:00:01	1851	9.3691	9.3715	9.3627	9.3743
04/22/2008	00:00:01	1983	9.372	9.3725	9.3679	9.3771
04/22/2008	01:00:01	2852	9.3732	9.371	9.3667	9.3751
04/22/2008	02:00:01	3309	9.3718	9.3693	9.3674	9.3747
04/22/2008	03:00:01	2127	9.3705	9.3674	9.3629	9.3717
04/22/2008	04:00:01	1925	9.3672	9.3667	9.3579	9.3708
04/22/2008	05:00:01	3373	9.3659	9.3698	9.3563	9.3722
04/22/2008	06:00:01	4733	9.3691	9.3657	9.3573	9.3755
04/22/2008	07:00:01	7059	9.3667	9.3551	9.3461	9.3734
04/22/2008	08:00:01	7054	9.3578	9.3516	9.3479	9.3665
04/22/2008	09:00:01	5326	9.3516	9.3503	9.3452	9.3594
04/22/2008	10:00:01	4417	9.3502	9.3522	9.3435	9.3575
04/22/2008	11:00:01	4848	9.3533	9.3522	9.3455	9.3635
04/22/2008	12:00:01	5689	9.3524	9.359	9.3432	9.362
04/22/2008	13:00:01	6100	9.357	9.3589	9.3521	9.3629
04/22/2008	14:00:01	6931	9.357	9.3418	9.3348	9.3604
04/22/2008	15:00:01	6172	9.3422	9.3484	9.3358	9.3502
04/22/2008	16:00:01	4531	9.3481	9.349	9.3353	9.3539
04/22/2008	17:00:01	3187	9.3504	9.3466	9.3388	9.3538
04/22/2008	18:00:01	3054	9.3481	9.3506	9.3383	9.3532
04/22/2008	19:00:01	3348	9.3508	9.3404	9.3365	9.3522
04/22/2008	20:00:01	2816	9.3416	9.336	9.3333	9.3465
04/22/2008	21:00:01	1826	9.3375	9.3343	9.3261	9.3409
04/22/2008	22:00:01	1753	9.3361	9.3343	9.3269	9.3387
04/22/2008	23:00:01	1991	9.3353	9.3327	9.328	9.3375
04/23/2008	00:00:01	2260	9.3295	9.3338	9.3276	9.3384
04/23/2008	01:00:01	2212	9.3365	9.3339	9.3285	9.3375
04/23/2008	02:00:01	2440	9.3343	9.3207	9.3149	9.337
04/23/2008	03:00:01	2159	9.3199	9.3213	9.3162	9.3299
04/23/2008	04:00:01	2292	9.3203	9.3117	9.3038	9.3288
04/23/2008	05:00:01	3115	9.3119	9.3188	9.3049	9.3303
04/23/2008	06:00:01	5453	9.3202	9.3192	9.3123	9.3343
04/23/2008	07:00:01	7687	9.3178	9.3034	9.298	9.3385
04/23/2008	08:00:01	6890	9.3052	9.3036	9.2972	9.3153
04/23/2008	09:00:01	5121	9.3021	9.3045	9.2922	9.3094
04/23/2008	10:00:01	5282	9.3056	9.3031	9.2967	9.3132
04/23/2008	11:00:01	5698	9.3034	9.3111	9.2938	9.3173
04/23/2008	12:00:01	6586	9.3085	9.3253	9.3058	9.3289
04/23/2008	13:00:01	6675	9.327	9.3303	9.3161	9.338
04/23/2008	14:00:01	6416	9.3334	9.3363	9.3195	9.3418
04/23/2008	15:00:01	5626	9.3374	9.3421	9.3288	9.3461
04/23/2008	16:00:01	4039	9.3389	9.3398	9.3301	9.3447
04/23/2008	17:00:01	3272	9.34	9.338	9.3288	9.3433
04/23/2008	18:00:01	2927	9.3385	9.3356	9.3248	9.3431
04/23/2008	19:00:01	2526	9.3388	9.3353	9.326	9.3406
04/23/2008	20:00:01	2303	9.3358	9.329	9.3226	9.3407
04/23/2008	21:00:01	2029	9.3292	9.3306	9.3218	9.3353
04/23/2008	22:00:01	1771	9.3314	9.3325	9.3218	9.3373
04/23/2008	23:00:01	1696	9.333	9.3307	9.3273	9.3351
04/24/2008	00:00:01	2117	9.3311	9.3261	9.3244	9.3329
04/24/2008	01:00:01	3245	9.3273	9.3277	9.3208	9.3326
04/24/2008	02:00:01	2406	9.328	9.322	9.3173	9.3317
04/24/2008	03:00:01	2548	9.3233	9.3192	9.3161	9.3283
04/24/2008	04:00:01	2148	9.3184	9.3313	9.3174	9.3319
04/24/2008	05:00:01	2623	9.3345	9.3312	9.3221	9.3373
04/24/2008	06:00:01	4881	9.3317	9.3215	9.316	9.3389
04/24/2008	07:00:01	5706	9.323	9.3126	9.3066	9.3284
04/24/2008	08:00:01	7314	9.3129	9.2989	9.2952	9.3147
04/24/2008	09:00:01	5949	9.3007	9.2952	9.2832	9.3081
04/24/2008	10:00:01	4554	9.2958	9.2961	9.29	9.3065
04/24/2008	11:00:01	4863	9.2966	9.2953	9.2883	9.3015
04/24/2008	12:00:01	7108	9.2957	9.3057	9.2894	9.3135
04/24/2008	13:00:01	5800	9.3052	9.2974	9.2949	9.3129
04/24/2008	14:00:01	4921	9.2974	9.314	9.2901	9.3157
04/24/2008	15:00:01	5721	9.3108	9.3209	9.2987	9.3264
04/24/2008	16:00:01	4451	9.3244	9.3209	9.3146	9.3291
04/24/2008	17:00:01	3696	9.3207	9.327	9.3143	9.329
04/24/2008	18:00:01	2972	9.3253	9.3213	9.3168	9.3287
04/24/2008	19:00:01	2411	9.322	9.3239	9.3106	9.3292
04/24/2008	20:00:01	2519	9.3242	9.3214	9.3028	9.329
04/24/2008	21:00:01	1995	9.3223	9.3185	9.305	9.3238
04/24/2008	22:00:01	1595	9.3185	9.317	9.3059	9.3238
04/24/2008	23:00:01	1876	9.3191	9.3201	9.3149	9.322
04/25/2008	00:00:01	2389	9.3202	9.3192	9.3068	9.3236
04/25/2008	01:00:01	2400	9.3201	9.316	9.316	9.3236
04/25/2008	02:00:01	2285	9.3191	9.3167	9.3131	9.3258
04/25/2008	03:00:01	2050	9.3197	9.3161	9.3053	9.3233
04/25/2008	04:00:01	2978	9.3179	9.3155	9.3058	9.3234
04/25/2008	05:00:01	3137	9.3148	9.3144	9.3043	9.3203
04/25/2008	06:00:01	5148	9.315	9.3143	9.3049	9.3199
04/25/2008	07:00:01	7426	9.3111	9.3382	9.3028	9.3432
04/25/2008	08:00:01	6398	9.339	9.3435	9.3309	9.3471
04/25/2008	09:00:01	6217	9.343	9.3373	9.3281	9.3462
04/25/2008	10:00:01	4442	9.3359	9.3319	9.3263	9.3395
04/25/2008	11:00:01	4859	9.3319	9.3405	9.3225	9.3468
04/25/2008	12:00:01	5302	9.3405	9.3441	9.3308	9.3502
04/25/2008	13:00:01	4625	9.3451	9.3394	9.3295	9.3489
04/25/2008	14:00:01	3768	9.3394	9.3461	9.3348	9.3497
04/25/2008	15:00:01	4377	9.3467	9.3425	9.3341	9.3502
04/25/2008	16:00:01	3468	9.3405	9.3411	9.3307	9.3455
04/25/2008	17:00:01	3624	9.3413	9.3592	9.3318	9.3665
04/25/2008	18:00:01	3629	9.3582	9.3489	9.3427	9.3603
04/25/2008	19:00:01	2633	9.351	9.3537	9.3479	9.3608
04/25/2008	20:00:01	2556	9.3523	9.3478	9.3409	9.3568
04/25/2008	21:00:01	894	9.3446	9.3451	9.3399	9.3626
04/27/2008	21:00:01	1142	9.3381	9.3534	9.3381	9.3576
04/27/2008	22:00:01	1563	9.3502	9.3496	9.3452	9.3545
04/27/2008	23:00:01	2363	9.3496	9.3487	9.3449	9.3513
04/28/2008	00:00:01	2157	9.3486	9.3488	9.3451	9.3516
04/28/2008	01:00:01	2468	9.3493	9.3486	9.3449	9.352
04/28/2008	02:00:01	1960	9.3486	9.3472	9.3438	9.3497
